,Population Bin %,# Records,# Goods,# Bads,% Goods,% Bads,Total # Records,Cumulative Good,Cumulative Bad,% Good,% Bad (FDR),KS,FPR
0,1.0,2501.0,596.0,1905.0,0.2383046781287485,0.7616953218712516,2501.0,596.0,1905.0,0.0024184876336559337,0.5266795687033453,0.5242610810696894,0.31286089238845144
1,2.0,2501.0,2434.0,67.0,0.9732107157137145,0.026789284286285485,5002.0,3030.0,1972.0,0.012295331426136709,0.5452032070776887,0.532907875651552,1.5365111561866125
2,3.0,2500.0,2474.0,26.0,0.9896,0.0104,7502.0,5504.0,1998.0,0.022334489824903117,0.5523914846557921,0.530056994830889,2.754754754754755
3,4.0,2501.0,2472.0,29.0,0.9884046381447421,0.011595361855257898,10003.0,7976.0,2027.0,0.03236553249335525,0.5604091788775228,0.5280436463841676,3.934879131721756
4,5.0,2500.0,2473.0,27.0,0.9892,0.0108,12503.0,10449.0,2054.0,0.042400633026964514,0.5678739286701686,0.5254732956432041,5.087147030185005
5,6.0,2501.0,2467.0,34.0,0.98640543782487,0.013594562175129948,15004.0,12916.0,2088.0,0.052411386369630934,0.5772739839646116,0.5248625975949807,6.185823754789272
6,7.0,2500.0,2472.0,28.0,0.9888,0.0112,17504.0,15388.0,2116.0,0.062442429038083065,0.5850152059717998,0.5225727769337167,7.272211720226843
7,8.0,2501.0,2485.0,16.0,0.9936025589764095,0.006397441023590564,20005.0,17873.0,2132.0,0.07252622395357802,0.5894387614044788,0.5169125374509008,8.383208255159476
8,9.0,2500.0,2477.0,23.0,0.9908,0.0092,22505.0,20350.0,2155.0,0.08257755594781585,0.595797622338955,0.513220066391139,9.443155452436194
9,10.0,2501.0,2482.0,19.0,0.9924030387844862,0.0075969612155137945,25006.0,22832.0,2174.0,0.09264917726783939,0.6010505944152613,0.5084014171474219,10.50229990800368
10,11.0,2500.0,2479.0,21.0,0.9916,0.0084,27506.0,25311.0,2195.0,0.1027086249923915,0.6068565109206525,0.504147885928261,11.53120728929385
11,12.0,2501.0,2481.0,20.0,0.9920031987205118,0.007996801279488205,30007.0,27792.0,2215.0,0.1127761884472579,0.6123859552115013,0.4996097667642434,12.547178329571105
12,13.0,2500.0,2488.0,12.0,0.9952,0.0048,32507.0,30280.0,2227.0,0.12287215695822427,0.6157036217860105,0.49283146482778617,13.596766951055232
13,14.0,2501.0,2488.0,13.0,0.9948020791683326,0.005197920831667333,35008.0,32768.0,2240.0,0.13296812546919065,0.6192977605750623,0.48632963510587157,14.628571428571428
14,15.0,2500.0,2488.0,12.0,0.9952,0.0048,37508.0,35256.0,2252.0,0.14306409398015704,0.6226154271495715,0.47955133316941445,15.655417406749557
15,16.0,2501.0,2479.0,22.0,0.991203518592563,0.008796481407437025,40009.0,37735.0,2274.0,0.15312354170470915,0.6286978158695051,0.475574274164796,16.59410729991205
16,17.0,2500.0,2475.0,25.0,0.99,0.01,42509.0,40210.0,2299.0,0.1631667579686327,0.6356096212330661,0.4724428632644334,17.49021313614615
17,18.0,2501.0,2483.0,18.0,0.9928028788484606,0.007197121151539384,45010.0,42693.0,2317.0,0.17324243715381338,0.6405861210948299,0.46734368394101655,18.425981873111784
18,19.0,2500.0,2480.0,20.0,0.992,0.008,47510.0,45173.0,2337.0,0.18330594274352263,0.6461155653856787,0.4628096226421561,19.329482242190842
19,20.0,2501.0,2482.0,19.0,0.9924030387844862,0.0075969612155137945,50011.0,47655.0,2356.0,0.19337756406354617,0.6513685374619851,0.4579909733984389,20.227079796264857
